0	30	0	1
1	1	0	2
2	32	1	2
3	33	3	4
4	4	3	4
5	35	5	6
6	36	5	7
7	7	6	8
8	8	7	9
9	39	8	9
10	40	10	11
11	11	10	12
12	42	11	13
13	43	12	13
14	14	14	15
15	15	14	16
16	46	15	17
17	47	16	18
18	18	17	18
19	49	19	20
20	50	19	20
21	51	21	22
22	22	21	23
23	23	22	24
24	54	23	24
25	55	25	26
26	26	25	27
27	27	26	28
28	28	27	29
29	59	28	29
0	30	30	31
31	61	30	31
2	32	32	33
3	33	32	33
34	64	34	35
5	35	34	35
6	36	36	37
37	37	36	38
38	68	37	38
9	39	39	39
10	70	40	40
41	71	41	42
12	42	41	42
13	43	43	44
44	44	43	45
45	75	44	45
16	76	46	46
17	47	47	48
48	48	47	49
19	49	48	49
20	50	50	51
21	51	50	51
52	52	52	53
53	83	52	53
24	84	54	54
25	85	55	55
56	86	56	57
57	57	56	58
58	88	57	58
29	89	59	59
60	90	60	61
31	61	60	61
62	92	62	63
63	63	62	64
34	64	63	64
65	95	65	65
66	96	66	67
67	97	66	68
38	68	67	68
69	99	69	70
40	70	69	70
41	101	71	71
72	102	72	73
73	73	72	74
74	104	73	74
45	105	75	75
46	76	76	77
77	77	76	78
78	108	77	78
79	109	79	80
80	80	79	81
81	111	80	81
82	112	82	83
53	113	82	83
54	84	84	85
55	85	84	85
56	116	86	86
87	117	87	87
58	118	88	88
59	119	89	89
60	90	90	91
91	121	90	91
62	122	92	92
93	123	93	94
94	124	93	94
65	125	95	95
66	126	96	96
67	97	97	97
98	128	98	99
69	99	98	99
100	130	100	101
71	101	100	101
72	102	102	103
103	133	102	103
74	134	104	104
75	105	105	106
106	106	105	107
107	137	106	107
78	108	108	109
79	109	108	109
110	140	110	111
81	111	110	112
82	112	111	112
83	113	113	114
114	144	113	114
115	145	115	116
86	116	115	116
87	147	117	118
88	118	117	118
89	149	119	119
120	150	120	121
91	121	120	121
92	122	122	123
93	123	122	123
94	124	124	125
95	155	124	125
96	126	126	127
127	127	126	128
98	128	127	129
129	129	128	129
100	130	130	131
131	161	130	131
132	162	132	133
103	133	132	133
104	134	134	135
135	165	134	135
136	166	136	136
107	137	137	138
138	138	137	139
139	169	138	139
110	170	140	140
141	171	141	142
142	142	141	143
143	173	142	143
114	144	144	144
115	175	145	145
146	176	146	147
117	147	146	147
148	148	148	149
119	179	148	149
120	180	150	151
151	151	150	152
152	182	151	153
153	153	152	154
154	154	153	154
125	155	155	156
156	186	155	156
157	187	157	157
158	188	158	159
159	159	158	160
160	160	159	161
131	191	160	161
132	192	162	162
163	193	163	164
164	194	163	164
135	195	165	165
136	166	166	167
167	197	166	167
168	198	168	169
139	169	168	169
140	170	170	170
141	201	171	171
172	202	172	172
143	173	173	174
174	174	173	175
145	175	174	175
146	176	176	177
177	207	176	177
178	208	178	179
149	179	178	179
150	210	180	180
181	211	181	181
152	182	182	183
183	183	182	184
184	184	183	185
185	215	184	185
156	186	186	187
157	217	186	187
158	218	188	188
189	189	189	190
190	190	189	191
161	221	190	191
162	222	192	192
163	193	193	193
164	224	194	194
165	195	195	196
196	226	195	196
167	197	197	198
168	198	197	199
199	199	198	200
200	200	199	201
171	201	200	201
172	202	202	203
203	203	202	204
204	234	203	205
205	205	204	206
206	206	205	207
177	207	206	207
178	208	208	209
209	239	208	209
180	210	210	211
181	211	210	212
212	242	211	213
213	213	212	213
214	244	214	215
185	245	214	216
216	216	215	216
187	247	217	217
188	248	218	218
219	249	219	220
220	250	219	220
191	251	221	221
192	252	222	222
223	253	223	224
194	224	223	225
225	225	224	225
196	226	226	227
227	257	226	227
228	258	228	229
229	229	228	230
230	260	229	230
231	261	231	232
232	232	231	233
233	263	232	233
204	234	234	235
235	235	234	236
236	266	235	236
237	237	237	238
238	268	237	239
209	239	238	239
240	270	240	241
241	241	240	242
212	242	241	242
243	273	243	244
